Feedback_ID,Subject_Code,Student_ID,Semester_ID,Clarity_of_Explanation,Subject_Knowledge_of_Teacher,Engagement_in_Class,Encouragement_of_Participation,Fairness_in_Grading,Timely_Feedback_on_Assignments,Availability_for_Doubts_Outside_Class,Use_of_Teaching_Aids_Technology,Classroom_Management,Pacing_of_Course,Relevance_of_Course_Material,Encouragement_of_Critical_Thinking,Respectful_and_Inclusive_Environment,Adjustment_to_Student_Confusion,Overall_Teaching_Effectiveness
F0001,DA127,STU001,S001,3,5,4,1,1,5,5,4,3,5,5,4,3,3,4
F0002,DA303,STU001,S002,4,4,3,3,4,4,5,5,5,5,5,5,5,5,5
F0003,DA765,STU001,S003,5,4,2,3,4,4,3,4,4,2,5,3,5,3,4
F0004,DA127,STU002,S001,5,4,3,5,5,5,3,2,3,4,5,5,4,5,4
F0005,DA303,STU002,S002,3,4,5,5,3,4,4,5,4,5,4,4,5,5,4
F0006,DA765,STU002,S003,3,5,5,4,2,4,5,4,3,2,4,3,5,5,4
F0007,DA127,STU003,S001,1,4,5,5,5,5,3,4,4,4,4,5,3,3,4
F0008,DA303,STU003,S002,5,5,4,5,1,4,1,5,5,3,4,5,5,4,4
F0009,DA765,STU003,S003,4,5,2,5,3,4,4,4,5,3,5,4,5,2,4
F0010,DA127,STU004,S001,3,4,4,5,3,3,4,5,3,4,4,5,3,5,4
F0011,DA303,STU004,S002,2,5,5,3,3,5,4,4,5,5,4,2,5,3,4
F0012,DA765,STU004,S003,3,5,3,4,4,4,5,3,4,4,3,5,3,5,4
F0013,DA127,STU005,S001,4,3,4,3,5,5,5,5,5,4,5,5,3,4,4
F0014,DA303,STU005,S002,3,4,4,2,5,5,4,5,4,5,4,4,3,5,4
F0015,DA765,STU005,S003,5,5,4,4,5,2,3,5,5,2,3,5,5,4,4
F0016,DA384,STU006,S004,3,4,5,3,3,5,3,4,5,5,5,4,5,5,4
F0017,DA877,STU006,S005,4,4,5,2,5,5,5,4,4,5,4,5,3,2,4
F0018,DA814,STU006,S006,5,5,5,5,3,3,3,4,5,1,5,5,4,4,4
F0019,DA384,STU007,S004,5,3,3,5,4,1,5,5,4,4,4,5,4,5,4
F0020,DA877,STU007,S005,4,5,4,1,3,3,4,5,2,5,5,5,5,4,4
F0021,DA814,STU007,S006,5,5,3,3,5,5,5,5,3,5,3,5,5,4,4
F0022,DA384,STU008,S004,5,5,4,5,5,5,3,5,5,5,3,5,4,4,4
F0023,DA877,STU008,S005,5,4,3,1,4,5,4,5,3,4,5,5,3,5,4
F0024,DA814,STU008,S006,3,5,5,4,4,4,4,5,3,4,4,5,1,4,4
F0025,DA384,STU009,S004,4,4,5,5,5,5,4,4,5,4,4,2,4,5,4
F0026,DA877,STU009,S005,4,4,3,4,1,4,4,4,5,5,4,5,5,5,4
F0027,DA814,STU009,S006,4,4,3,4,4,5,5,5,5,5,5,3,3,3,4
F0028,DA384,STU010,S004,1,3,3,4,4,3,5,1,5,2,5,4,5,5,4
F0029,DA877,STU010,S005,3,5,4,3,5,5,5,5,5,4,4,2,5,3,5
F0030,DA814,STU010,S006,5,4,5,4,3,5,5,4,5,4,4,5,5,5,4
F0031,DA204,STU011,S007,2,5,4,4,2,4,4,4,4,4,5,3,3,3,4
F0032,DA489,STU011,S008,5,4,5,5,5,5,4,5,5,5,5,4,4,1,5
F0033,DA467,STU011,S009,3,3,3,4,3,5,1,4,2,4,4,5,4,4,3
F0034,DA204,STU012,S007,5,5,3,4,5,5,4,2,2,4,4,3,1,4,4
F0035,DA489,STU012,S008,5,3,4,5,3,3,5,4,5,5,2,5,3,5,4
F0036,DA467,STU012,S009,5,3,3,5,4,5,5,4,5,3,2,5,5,5,4
F0037,DA204,STU013,S007,5,5,5,3,4,4,4,4,5,5,5,5,4,3,5
F0038,DA489,STU013,S008,5,5,3,5,4,5,4,4,5,5,5,5,4,4,5
F0039,DA467,STU013,S009,4,5,5,5,2,5,3,3,3,5,4,3,5,4,4
F0040,DA204,STU014,S007,5,4,5,4,5,5,4,5,1,5,5,3,3,5,4
F0041,DA489,STU014,S008,5,4,4,4,4,4,3,3,4,4,5,4,3,5,4
F0042,DA467,STU014,S009,5,4,3,3,3,3,3,1,4,5,3,5,4,4,3
F0043,DA204,STU015,S007,5,5,4,5,4,3,2,5,3,5,4,4,4,5,4
F0044,DA489,STU015,S008,4,5,2,5,5,5,5,3,2,3,3,4,4,4,4
F0045,DA467,STU015,S009,4,5,5,5,3,5,3,3,4,5,4,5,2,5,4
F0046,DA570,STU016,S010,4,5,5,4,5,5,5,5,3,5,5,5,4,4,5
F0047,DA227,STU016,S011,5,5,5,5,3,5,5,5,2,3,4,4,4,5,4
F0048,DA180,STU016,S012,2,5,2,4,5,5,5,4,4,4,5,3,2,5,4
F0049,DA570,STU017,S010,4,3,5,5,4,5,5,4,3,5,4,5,5,4,4
F0050,DA227,STU017,S011,5,4,5,4,5,5,4,4,4,4,4,4,3,5,4
F0051,DA180,STU017,S012,5,5,5,5,5,5,3,3,3,4,3,5,4,4,4
F0052,DA570,STU018,S010,3,5,5,5,4,5,5,3,4,3,4,5,4,4,4
F0053,DA227,STU018,S011,5,5,4,5,5,4,4,5,5,4,4,5,5,4,5
F0054,DA180,STU018,S012,3,3,4,4,4,3,5,2,4,4,5,4,5,4,4
F0055,DA570,STU019,S010,5,4,4,5,5,5,4,4,5,5,5,4,4,2,5
F0056,DA227,STU019,S011,4,5,5,3,5,5,4,4,4,5,5,4,5,5,5
F0057,DA180,STU019,S012,5,4,2,2,5,5,4,5,5,5,3,5,5,5,4
F0058,DA570,STU020,S010,5,3,4,4,5,5,3,5,3,4,3,4,3,5,4
F0059,DA227,STU020,S011,4,4,4,1,4,5,4,3,5,5,4,5,5,3,4
F0060,DA180,STU020,S012,4,5,4,3,4,4,5,5,4,4,5,5,2,4,4
F0061,DA171,STU021,S013,4,5,5,4,5,5,5,5,5,5,5,4,5,5,5
F0062,DA777,STU021,S014,4,3,4,4,4,5,4,5,5,3,3,4,5,5,4
F0063,DA891,STU021,S015,5,3,4,5,5,5,5,5,5,4,5,3,5,5,4
F0064,DA171,STU022,S013,5,5,1,4,3,3,1,5,4,5,5,5,4,5,4
F0065,DA777,STU022,S014,3,5,2,5,4,3,5,3,5,4,4,4,4,3,4
F0066,DA891,STU022,S015,5,4,5,4,5,2,4,4,5,3,4,4,5,3,4
F0067,DA171,STU023,S013,3,3,5,4,4,5,5,5,5,4,5,4,1,3,4
F0068,DA777,STU023,S014,3,5,3,4,3,5,1,5,2,5,4,3,3,3,3
F0069,DA891,STU023,S015,4,4,3,5,2,5,4,5,1,1,3,5,4,3,4
F0070,DA171,STU024,S013,4,4,3,4,5,2,4,4,5,2,4,5,5,5,4
F0071,DA777,STU024,S014,5,4,2,2,5,4,4,5,5,2,4,4,3,5,4
F0072,DA891,STU024,S015,5,4,5,5,4,2,4,5,5,3,4,4,4,3,4
F0073,DA171,STU025,S013,5,4,2,5,4,4,3,4,3,3,5,5,5,5,4
F0074,DA777,STU025,S014,5,5,5,5,3,5,4,5,5,4,4,4,4,3,5
F0075,DA891,STU025,S015,5,5,5,5,3,5,4,4,5,5,4,1,1,5,4
F0076,AI975,STU026,S016,4,3,3,2,3,4,4,4,4,1,3,4,2,3,3
F0077,AI975,STU027,S016,2,3,4,4,2,3,3,4,3,4,4,3,3,3,3
F0078,AI975,STU028,S016,1,3,3,4,1,4,2,3,1,3,3,3,4,2,3
F0079,AI975,STU029,S016,5,5,5,2,4,4,3,2,5,1,4,1,1,5,3
F0080,AI975,STU030,S016,5,4,4,5,3,3,3,3,5,2,4,5,2,3,4
F0081,AI203,STU031,S017,2,3,4,5,2,4,4,4,3,4,2,5,2,5,4
F0082,AI203,STU032,S017,3,4,4,4,4,2,2,3,3,5,5,4,3,4,3
F0083,AI203,STU033,S017,1,5,4,3,4,4,3,4,3,1,5,5,4,2,4
F0084,AI203,STU034,S017,3,2,5,4,3,4,4,2,3,3,5,2,3,1,3
F0085,AI203,STU035,S017,3,4,4,2,4,1,2,4,3,3,4,3,3,3,3
F0086,AI564,STU036,S018,4,5,5,5,3,4,5,3,3,4,4,2,3,3,4
F0087,AI564,STU037,S018,5,3,4,5,3,2,3,5,4,4,3,4,3,4,3
F0088,AI564,STU038,S018,2,1,2,5,4,2,3,2,2,4,3,5,5,5,3
F0089,AI564,STU039,S018,5,3,2,3,3,4,3,5,3,4,4,3,3,3,4
F0090,AI564,STU040,S018,3,5,5,5,5,2,3,4,3,3,5,3,5,4,4
F0091,AI473,STU041,S019,2,2,5,5,5,3,3,3,3,4,3,3,1,5,3
F0092,AI473,STU042,S019,4,4,3,5,2,3,5,4,3,1,4,5,2,5,4
F0093,AI473,STU043,S019,3,4,1,2,3,3,1,3,3,5,2,4,4,4,3
F0094,AI473,STU044,S019,2,3,5,4,3,3,4,2,1,4,4,3,5,2,3
F0095,AI473,STU045,S019,4,5,4,5,1,4,3,4,4,3,3,3,4,4,4
F0096,AI463,STU046,S020,4,3,3,1,4,5,1,4,4,5,4,2,3,4,3
F0097,AI463,STU047,S020,1,3,2,1,2,3,4,5,5,4,4,5,3,4,3
F0098,AI463,STU048,S020,3,3,5,4,4,5,4,2,5,3,5,5,4,3,4
F0099,AI463,STU049,S020,4,4,3,2,1,5,3,5,4,3,3,4,3,3,4
F0100,AI463,STU050,S020,5,2,2,4,4,1,2,4,3,5,4,4,3,5,3
F0101,SO373,STU051,S021,5,5,5,5,5,4,3,5,5,4,4,5,4,5,4
F0102,SO373,STU052,S021,5,5,4,4,5,4,5,4,4,5,3,4,3,5,4
F0103,SO373,STU053,S021,5,5,4,4,5,5,5,3,3,5,5,5,4,5,4
F0104,SO373,STU054,S021,5,3,1,5,5,5,5,5,4,5,4,5,5,5,4
F0105,SO373,STU055,S021,5,5,5,4,5,4,5,3,5,4,4,5,3,5,4
F0106,SO763,STU056,S022,3,4,4,5,5,3,4,5,4,5,5,5,4,5,4
F0107,SO763,STU057,S022,5,5,3,5,2,5,5,5,5,5,3,5,5,5,4
F0108,SO763,STU058,S022,5,5,4,5,3,3,4,4,4,5,4,4,4,5,4
F0109,SO763,STU059,S022,4,5,5,5,4,4,4,3,5,5,4,3,4,4,4
F0110,SO763,STU060,S022,5,5,4,5,5,4,4,1,3,4,5,5,5,4,4
F0111,SO750,STU061,S023,5,4,4,4,5,4,5,5,2,4,5,5,5,5,4
F0112,SO750,STU062,S023,4,4,5,4,5,3,5,4,5,3,5,4,5,5,4
F0113,SO750,STU063,S023,5,4,5,4,4,5,5,4,5,4,4,2,5,3,4
F0114,SO750,STU064,S023,5,4,5,4,4,5,5,5,4,5,5,5,5,5,5
F0115,SO750,STU065,S023,5,5,1,4,3,5,5,5,5,5,5,5,3,5,5
F0116,SO846,STU066,S024,2,4,5,3,5,5,5,3,1,4,5,3,3,5,3
F0117,SO846,STU067,S024,4,4,5,5,5,5,5,5,4,3,5,5,4,4,4
F0118,SO846,STU068,S024,5,4,4,5,5,5,4,3,4,4,4,4,5,5,4
F0119,SO846,STU069,S024,5,4,5,5,4,4,4,5,5,4,4,4,5,5,5
F0120,SO846,STU070,S024,3,3,5,5,5,3,5,1,4,5,4,5,5,5,5
F0121,SO573,STU071,S025,4,5,5,5,3,5,5,5,4,4,5,5,5,4,5
F0122,SO573,STU072,S025,3,5,5,3,5,5,1,5,5,5,5,4,3,4,5
F0123,SO573,STU073,S025,4,4,5,5,3,4,4,4,4,5,3,5,5,4,5
F0124,SO573,STU074,S025,5,3,5,3,4,3,4,4,5,5,5,5,4,5,4
F0125,SO573,STU075,S025,5,3,5,4,4,4,4,5,5,1,3,5,5,5,4
